,Shop Order,Component,MRdate,MQISS,Product,BOM qty,BOM qty,MOPNO,Finished qty,MQREQ,Requested qty,Lot Number,SOSTS,Date
53,198830,PT00006610,20210915,0.0,8506Y,41.0,41.0,0,0,98400.0,2400.0,21J12763,04,2021-09-15
54,198829,WP7478,20210922,0.0,WP7449,1.0,1.0,40,0,100.0,100.0,21J198829,05,2021-09-22
55,198829,R7449,20210922,0.0,WP7449,1.0,1.0,30,0,100.0,100.0,21J198829,05,2021-09-22
56,198829,X9894,20210922,0.0,WP7449,0.0,0.0,30,0,0.0,100.0,21J198829,05,2021-09-22
57,198829,R98027,20210922,0.0,WP7449,34.995748,34.995748,30,0,3499.575,100.0,21J198829,05,2021-09-22
58,198829,R98028,20210922,0.0,WP7449,5.94854,5.94854,30,0,594.854,100.0,21J198829,05,2021-09-22
59,198829,X9898,20210922,0.0,WP7449,0.0,0.0,30,0,0.0,100.0,21J198829,05,2021-09-22
60,198829,X9899,20210922,0.0,WP7449,0.0,0.0,30,0,0.0,100.0,21J198829,05,2021-09-22
61,198829,FS10007083,20210922,0.0,WP7449,0.0,0.0,0,0,0.0,100.0,21J198829,05,2021-09-22
62,198829,WP7477,20210922,0.0,WP7449,1.0,1.0,40,0,100.0,100.0,21J198829,05,2021-09-22
63,198829,PT00012284,20210922,0.0,WP7449,0.0,0.0,30,0,0.0,100.0,21J198829,05,2021-09-22
64,198829,FS10002950,20210922,0.0,WP7449,0.0,0.0,0,0,0.0,100.0,21J198829,05,2021-09-22
65,198826,WP7478,20210922,0.0,WP7417P,1.0,1.0,40,0,18900.0,18900.0,21J198826,04,2021-09-22
66,198826,RM157,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
67,198826,FS10003699,20210916,0.0,WP7417P,0.0,0.0,0,0,0.0,18900.0,21J198826,04,2021-09-16
68,198826,RM020,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
69,198826,PT00065942,20210916,0.0,WP7417P,0.052528,0.052528,30,0,992.779,18900.0,21J198826,04,2021-09-16
70,198826,RM176,20210916,0.0,WP7417P,10.715712,10.715712,30,0,202526.957,18900.0,21J198826,04,2021-09-16
71,198826,X9894,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
72,198826,X9898,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
73,198826,X9899,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
74,198826,FS10007077,20210916,0.0,WP7417P,0.0,0.0,0,0,0.0,18900.0,21J198826,04,2021-09-16
75,198826,R98027,20210916,0.0,WP7417P,23.9,23.9,30,0,451710.0,18900.0,21J198826,04,2021-09-16
76,198826,R98028,20210916,0.0,WP7417P,4.896034,4.896034,30,0,92535.043,18900.0,21J198826,04,2021-09-16
77,198826,WP7477,20210922,0.0,WP7417P,1.0,1.0,40,0,18900.0,18900.0,21J198826,04,2021-09-22
78,198826,PT00012252,20210916,0.0,WP7417P,0.0,0.0,30,0,0.0,18900.0,21J198826,04,2021-09-16
79,198826,FS10003697,20210916,0.0,WP7417P,0.0,0.0,0,0,0.0,18900.0,21J198826,04,2021-09-16
80,198825,FS10002912,20210916,0.0,WP8998,0.0,0.0,0,0,0.0,17640.0,21J198825,04,2021-09-16
81,198825,RM020,20210916,0.0,WP8998,0.0,0.0,0,0,0.0,17640.0,21J198825,04,2021-09-16
82,198825,RM157,20210916,0.0,WP8998,0.0,0.0,0,0,0.0,17640.0,21J198825,04,2021-09-16
83,198825,PT00065942,20210916,0.0,WP8998,0.051615,0.051615,0,0,910.489,17640.0,21J198825,04,2021-09-16
84,198825,RM093,20210916,0.0,WP8998,10.52953,10.52953,40,0,185740.909,17640.0,21J198825,04,2021-09-16
85,198825,X9894,20210916,0.0,WP8998,0.0,0.0,888,0,0.0,17640.0,21J198825,04,2021-09-16
86,198825,R98027,20210916,0.0,WP8998,23.9,23.9,888,0,421596.0,17640.0,21J198825,04,2021-09-16
87,198825,R98028,20210916,0.0,WP8998,4.896034,4.896034,888,0,86366.04,17640.0,21J198825,04,2021-09-16
88,198825,DC00030203,20210916,0.0,WP8998,0.0,0.0,0,0,0.0,17640.0,21J198825,04,2021-09-16
89,198824,WP8998,20211015,0.0,8989CRH,5.0,5.0,888,0,2100.0,420.0,21J12663,04,2021-10-15
90,198824,FS20001578,20211016,0.0,8989CRH,0.0,0.0,0,0,0.0,420.0,21J12663,04,2021-10-16
91,198824,RM165,20211018,0.0,8989CRH,308.36,308.36,50,0,129511.2,420.0,21J12663,04,2021-10-18
92,198824,RM160,20211015,0.0,8989CRH,0.0,0.0,50,0,0.0,420.0,21J12663,04,2021-10-15
93,198824,RM157,20211015,0.0,8989CRH,0.0,0.0,50,0,0.0,420.0,21J12663,04,2021-10-15
94,198824,RM093,20211015,0.0,8989CRH,0.0,0.0,50,0,0.0,420.0,21J12663,04,2021-10-15
95,198824,FS10002896,20211015,0.0,8989CRH,0.0,0.0,0,0,0.0,420.0,21J12663,04,2021-10-15
96,198824,RM054,20211015,0.0,8989CRH,0.0,0.0,50,0,0.0,420.0,21J12663,04,2021-10-15
97,198824,PT00065936,20211015,0.0,8989CRH,0.0,0.0,0,0,0.0,420.0,21J12663,04,2021-10-15
98,198824,RM129,20211015,0.0,8989CRH,0.0,0.0,50,0,0.0,420.0,21J12663,04,2021-10-15
99,198824,CL63R4445,20211015,0.0,8989CRH,10.025,10.025,50,0,4210.5,420.0,21J12663,04,2021-10-15
100,198824,R5097,20211015,0.0,8989CRH,1.0,1.0,888,0,420.0,420.0,21J12663,04,2021-10-15
101,198824,R1690,20211015,0.0,8989CRH,1.0,1.0,888,0,420.0,420.0,21J12663,04,2021-10-15
102,198824,R1700,20211015,0.0,8989CRH,1.0,1.0,888,0,420.0,420.0,21J12663,04,2021-10-15
103,198824,R4415,20211015,0.0,8989CRH,1.0,1.0,888,0,420.0,420.0,21J12663,04,2021-10-15
104,198824,PT00013702,20211015,0.0,8989CRH,0.0,0.0,0,0,0.0,420.0,21J12663,04,2021-10-15
105,198824,FS10028282,20211015,0.0,8989CRH,0.0,0.0,0,0,0.0,420.0,21J12663,04,2021-10-15
106,198824,PT00012138,20211015,0.0,8989CRH,1.0,1.0,0,0,420.0,420.0,21J12663,04,2021-10-15
