,NC Number,Created Date,NC Type,Discovery/Plant Area,Discovery/Plant Area Name,Product,Initial Failure Mode,Lot Number,Closed Date,NC TAT
38,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18I15763,2019-03-29 19:25:36.417,56.0
39,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18I15763,2019-03-29 19:25:36.417,56.0
40,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18I15763,2019-03-29 19:25:36.417,56.0
41,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18I15763,2019-03-29 19:25:36.417,56.0
42,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
43,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
44,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
45,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
46,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
47,NC-IL081-08230,2019-01-31 19:47:14.677,Internal,C74,Press 74-IL081,8851,CFF-F-Printing,18K13963,2019-03-29 19:25:36.417,56.0
48,NC-IL081-08244,2019-01-31 22:02:18.613,Internal,S6P,Packer-IL081,4502570,PR- Documentation Incomplete,19A06663X,2019-02-25 20:18:43.127,24.0
49,NC-IL081-08283,2019-02-01 16:22:03.913,Internal,C82,Press 82-IL081,8982,CFF-V-Contamination (Embedded),18M08163,2019-05-09 19:58:15.200,97.0
50,NC-IL081-08311,2019-02-01 21:37:08.487,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32763X,2019-04-01 19:59:16.620,58.0
51,NC-IL081-08314,2019-02-01 21:49:14.987,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32663X,2019-04-15 22:05:25.003,73.0
52,NC-IL081-08317,2019-02-01 22:26:26.490,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32563X,2019-04-15 15:21:21.403,72.0
53,NC-IL081-08317,2019-02-01 22:26:26.490,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32563X,2019-04-15 15:21:21.403,72.0
54,NC-IL081-08318,2019-02-01 22:33:10.253,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19A32463X,2019-03-13 20:53:05.387,39.0
55,NC-IL081-08500,2019-02-06 23:46:58.070,Internal,S8F,"Form, Fill Sealer-IL081",1181200777,SFF-SPBP-F-UDI Barcode,19A32163X,2019-03-22 19:43:02.053,43.0
56,NC-IL081-08500,2019-02-06 23:46:58.070,Internal,S8F,"Form, Fill Sealer-IL081",1181200777,SFF-SPBP-F-UDI Barcode,19A32163X,2019-03-22 19:43:02.053,43.0
57,NC-IL081-08501,2019-02-07 00:09:06.840,Internal,S8K,Kahle-IL081,1181200777,SFF-SA-V-Particulate 2,19A32163X,2019-03-21 21:11:44.203,42.0
58,NC-IL081-08511,2019-02-07 08:20:17.390,Internal,S6K,Kahle-IL081,4502570,SFF-SA-F-Spraymation,19A18963X,,
59,NC-IL081-08511,2019-02-07 08:20:17.390,Internal,S6K,Kahle-IL081,4502570,SFF-SA-F-Spraymation,19A18863X,,
60,NC-IL081-08511,2019-02-07 08:20:17.390,Internal,S6K,Kahle-IL081,4502570,SFF-SA-F-Spraymation,19A18763X,,
61,NC-IL081-08515,2019-02-07 11:27:46.753,Internal,C46,Press 46-IL081,8536SA,CFF-D-Molding 1,18L12263,2019-05-07 17:59:36.037,89.0
62,NC-IL081-08633,2019-02-09 13:09:34.860,Internal,C81,Press 81-IL081,89671,CFF-V-Label Verification and Barcode Verification 6,18L06963,2019-05-15 18:25:11.617,95.0
63,NC-IL081-08644,2019-02-09 17:41:31.617,Internal,S8K,Kahle-IL081,1181200777,SFF-SA-V-Particulate 2,19A32263X,2019-05-15 19:40:14.433,95.0
64,NC-IL081-08646,2019-02-10 05:49:12.547,Internal,S7P,Packer-IL081,8881907465,PR-Process Step Missed,19B04563X,2019-04-17 19:11:12.423,66.0
65,NC-IL081-08649,2019-02-10 13:06:02.883,Internal,,,8881907465,SFF-P-V-Numbering 2,19B04663X,2019-06-19 19:33:20.637,129.0
66,NC-IL081-08690,2019-02-11 21:33:43.063,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19B12463X,2019-03-27 17:05:32.040,43.0
67,NC-IL081-08694,2019-02-11 21:42:32.410,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19B12363X,2019-03-25 19:56:12.860,41.0
68,NC-IL081-08696,2019-02-11 21:47:12.527,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19B12563X,2019-03-27 17:19:37.303,43.0
69,NC-IL081-08765,2019-02-12 21:33:46.080,Internal,C56,Press 56-IL081,8997S,CFF-F-Molding 3,18L16863,2019-06-19 18:47:29.630,126.0
70,NC-IL081-08765,2019-02-12 21:33:46.080,Internal,C56,Press 56-IL081,8997S,CFF-F-Molding 3,18L16863,2019-06-19 18:47:29.630,126.0
71,NC-IL081-08780,2019-02-13 10:41:59.747,Internal,S2P,Packer-IL081,8881512878,SFF-SPIC-V-Labeling/Print 2,19A28563X,2019-03-27 20:54:56.767,42.0
72,NC-IL081-08816,2019-02-13 19:26:48.050,Internal,C74,Press 74-IL081,8850,CFF-V-Incorrect Items,18L19463,2019-04-10 19:44:15.213,56.0
73,NC-IL081-08830,2019-02-13 22:46:47.513,Internal,C31,Press 31-IL081,8982CRH,CFF-V-Quantity per Case,18K20163,2019-05-20 20:09:17.163,95.0
74,NC-IL081-08853,2019-02-14 16:35:59.843,Internal,C77,Press 77-IL081,31317483,"CFF-V-Blisters, Bubbles and Voids",18K22863,2019-05-08 21:13:55.927,83.0
75,NC-IL081-08854,2019-02-14 16:36:42.907,Internal,S1R,RAM-IL081,8881112599,SFF-M-V-Broken/Damaged 2,19A25463X,2019-03-27 21:11:30.473,41.0
76,NC-IL081-08871,2019-02-14 20:11:23.907,Internal,C25,Press 25-IL081,8507SA,Documentation Incomplete/Missing,18H18763,2019-06-12 19:11:59.507,117.0
77,NC-IL081-08976,2019-02-16 16:23:35.503,Internal,C43C,Press 43C-IL081,8920SA,CFF-V-Packaging 1,18K24363,2019-03-27 20:25:44.223,39.0
78,NC-IL081-09038,2019-02-19 14:08:19.637,Internal,AS1,Assembly 1-IL081,8974,CFF-V-Quantity per Case,19A10163,2019-05-07 20:45:23.323,77.0
79,NC-IL081-09068,2019-02-19 23:06:30.773,Internal,S8P,Packer-IL081,8881540122,PR-Planned Deviation,19B38363X,2019-03-13 20:53:56.027,21.0
80,NC-IL081-09069,2019-02-19 23:12:30.853,Internal,S8P,Packer-IL081,8881540122,PR-Planned Deviation,19B38463X,2019-03-15 22:07:17.143,23.0
81,NC-IL081-09070,2019-02-19 23:26:06.690,Internal,S8P,Packer-IL081,8881540122,PR-Planned Deviation,19B38563X,2019-04-01 21:20:01.633,40.0
82,NC-IL081-09070,2019-02-19 23:26:06.690,Internal,S8P,Packer-IL081,8881540122,PR-Planned Deviation,19B38563X,2019-04-01 21:20:01.633,40.0
83,NC-IL081-09084,2019-02-20 10:36:02.290,Internal,S8F,"Form, Fill Sealer-IL081",1181200777,SFF-PPSP-V-Labeling/Print 2,19A32163X,2019-06-13 21:25:35.497,113.0
84,NC-IL081-09101,2019-02-20 16:40:43.487,Internal,S8B,8B-IL081,1181200777,Outside Validated Parameters,19A32763X,2019-04-01 20:40:36.220,40.0
85,NC-IL081-09101,2019-02-20 16:40:43.487,Internal,S8B,8B-IL081,1181200777,Outside Validated Parameters,19A32763X,2019-04-01 20:40:36.220,40.0
86,NC-IL081-09124,2019-02-21 00:09:15.220,Internal,C46,Press 46-IL081,8537SA,PR-Planned Deviation,19B39863,2019-12-26 22:43:47.843,308.0
87,NC-IL081-09124,2019-02-21 00:09:15.220,Internal,C46,Press 46-IL081,8537SA,PR-Planned Deviation,19B39863,2019-12-26 22:43:47.843,308.0
88,NC-IL081-09147,2019-02-21 12:12:03.747,Internal,C82,Press 82-IL081,31300919,PR-Process Step Missed,19B09363,2019-06-17 18:21:57.010,116.0
89,NC-IL081-09232,2019-02-23 03:52:08.290,Internal,C31,Press 31-IL081,8979C,CFF-V-Packaging 1,19B26263,2019-06-19 18:49:47.147,116.0
90,NC-IL081-09279,2019-02-25 21:30:41.587,Internal,S4A,412A-IL081,8881412012,SFF-M-V-Bubbles 1,19B11363X,2019-03-27 21:36:36.807,30.0
91,NC-IL081-09291,2019-02-26 02:17:07.157,Internal,AS1,Assembly 1-IL081,8556H-,Documentation Incomplete/Missing,18B22363,2019-06-12 18:47:16.653,106.0
92,NC-IL081-09408,2019-02-27 21:48:59.580,Internal,S7C,7C-IL081,8881112059,Validation,19B51463X,2019-06-27 15:27:24.293,119.0
93,NC-IL081-09481,2019-03-01 15:14:52.190,Internal,S7R,RAM-IL081,8881112059,SFF-SA-V-Mixed Product 2,19B51463X,2019-05-07 21:34:57.773,67.0
94,NC-IL081-09530,2019-03-03 14:12:23.290,Internal,S6P,Packer-IL081,4502570,SFF-SPBP-V-Labeling/Print 1,19B14663X,2019-03-22 18:36:51.670,19.0
95,NC-IL081-09547,2019-03-04 10:57:51.937,Internal,S8P,Packer-IL081,8881540122,SFF-PPSP-V-Seal Integrity 1,19B38563X,2019-04-01 21:04:53.100,28.0
96,NC-IL081-09603,2019-03-05 07:56:13.450,Internal,S7N,Pad Printer-IL081,8881112059,SFF-P-V-Graduations 3,19B38963X,2019-05-15 19:47:27.007,71.0
97,NC-IL081-09645,2019-03-05 23:07:28.430,Internal,C54,Press 54-IL081,8930SA,"CFF-V-Flash (Non-Functional Area), Gate",19B28463,2019-04-10 18:30:54.040,35.0
98,NC-IL081-09645,2019-03-05 23:07:28.430,Internal,C54,Press 54-IL081,8930SA,"CFF-V-Flash (Non-Functional Area), Gate",19B28463,2019-04-10 18:30:54.040,35.0
99,NC-IL081-09668,2019-03-06 14:03:38.647,Internal,C54,Press 54-IL081,8930SA,CFF-V-Label Verification and Barcode Verification 13,19B28463,2019-04-05 22:14:48.507,30.0
100,NC-IL081-09669,2019-03-06 14:08:48.533,Internal,C54,Press 54-IL081,8930SA,"CFF-V-Flash (Non-Functional Area), Gate",19B28463,,
101,NC-IL081-09745,2019-03-07 16:20:33.507,Internal,S8P,Packer-IL081,412SE,PR-Planned Deviation,19C05263X,2019-03-15 21:49:00.207,8.0
102,NC-IL081-09749,2019-03-07 16:22:58.923,Internal,S8P,Packer-IL081,412SE,PR-Planned Deviation,19C05163X,2019-03-15 21:47:25.657,8.0
103,NC-IL081-09789,2019-03-08 13:05:19.200,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07463X,2019-03-19 15:12:58.430,11.0
104,NC-IL081-09790,2019-03-08 13:13:47.587,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07563X,2019-03-19 15:10:44.490,11.0
105,NC-IL081-09792,2019-03-08 13:25:59.263,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07663X,2019-04-09 21:45:59.213,32.0
106,NC-IL081-09793,2019-03-08 13:31:01.777,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07763X,2019-03-19 14:26:50.780,11.0
107,NC-IL081-09794,2019-03-08 13:34:22.820,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07863X,2019-03-21 20:49:36.477,13.0
108,NC-IL081-09795,2019-03-08 13:37:26.847,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C07963X,2019-03-19 15:11:32.523,11.0
109,NC-IL081-09796,2019-03-08 13:41:26.093,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C08063X,2019-04-15 20:20:13.727,38.0
110,NC-IL081-09797,2019-03-08 14:30:25.743,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C08163X,2019-04-16 18:17:34.240,39.0
111,NC-IL081-09798,2019-03-08 14:34:14.867,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C08363X,,
112,NC-IL081-09799,2019-03-08 14:37:16.463,Internal,S6K,Kahle-IL081,4502570,PR-Planned Deviation,19C08363X,,
113,NC-IL081-09848,2019-03-11 13:12:49.027,Internal,C89,Press 89-IL081,31353603,CFF-V-Short,18M05163,2019-08-12 19:03:21.273,154.0
114,NC-IL081-09854,2019-03-11 15:35:57.673,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19C08763X,2019-05-02 18:13:00.583,52.0
115,NC-IL081-09905,2019-03-12 14:47:35.757,Internal,S8P,Packer-IL081,1181200777,PR-Planned Deviation,19C08863X,,
116,NC-IL081-09906,2019-03-12 14:51:44.620,Internal,,,1181200777,PR-Planned Deviation,19C08963X,,
117,NC-IL081-09907,2019-03-12 14:55:22.977,Internal,,,1181200777,PR-Planned Deviation,19C09063,,
118,NC-IL081-09928,2019-03-12 19:06:57.383,Internal,C43B,Press 43B-IL081,1522SA,CFF-V-Packaging 1,19B17363,2019-03-27 19:38:07.953,15.0
119,NC-IL081-10087,2019-03-16 16:09:26.617,Internal,S6K,Kahle-IL081,4502570,SFF-SA-F-Spraymation,19C07663X,2019-04-24 20:11:55.787,39.0
120,NC-IL081-10114,2019-03-18 16:37:42.783,Internal,C32,Press 32-IL081,851301,CFF-V-Packaging 1,19A26963,2019-04-10 19:18:18.177,23.0
121,NC-IL081-10120,2019-03-18 19:24:40.710,Internal,C89,Press 89-IL081,8605U,CFF-V-Quantity per Case,19B22863,2019-04-29 19:23:36.790,41.0
122,NC-IL081-10173,2019-03-20 08:56:04.817,Internal,,,4502570,Out of Validated Parameter - Parameter not to Specification,19A14463X,2019-05-02 19:01:32.790,43.0
123,NC-IL081-10237,2019-03-21 14:22:15.560,Internal,C67,Press 67-IL081,8611U,CFF-V-Quantity per Case,19B23763,2019-07-22 18:33:39.527,123.0
124,NC-IL081-10248,2019-03-21 19:29:28.633,Internal,C43B,Press 43B-IL081,1522SA,CFF-V-Packaging 1,19B17463,2019-03-27 20:20:37.573,6.0
125,NC-IL081-10316,2019-03-23 10:23:54.507,Internal,,,WP8506,CFF-V-SHORT,19B51563,,
126,NC-IL081-10317,2019-03-23 10:27:26.033,Internal,C18,Press 18-IL081,WP8506,CFF-V-SHORT,18B51563,2019-08-21 19:45:44.190,151.0
127,NC-IL081-10317,2019-03-23 10:27:26.033,Internal,C18,Press 18-IL081,WP8506,CFF-V-SHORT,18B51563,2019-08-21 19:45:44.190,151.0
128,NC-IL081-10319,2019-03-23 17:05:12.623,Internal,S3P,Packer-IL081,8881512878,SFF-PPSP-V-Labeling/Print 4,19C04063X,2019-04-15 19:08:06.483,23.0
129,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
130,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
131,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
132,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14763X,2019-05-02 19:24:20.690,39.0
133,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14763X,2019-05-02 19:24:20.690,39.0
134,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14763X,2019-05-02 19:24:20.690,39.0
135,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14863X,2019-04-29 20:44:39.850,35.0
136,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14863X,2019-04-29 20:44:39.850,35.0
137,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14863X,2019-04-29 20:44:39.850,35.0
138,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14963X,2019-04-29 20:44:39.850,35.0
139,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14963X,2019-04-29 20:44:39.850,35.0
140,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14963X,2019-04-29 20:44:39.850,35.0
141,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14763X,2019-04-29 20:44:39.850,35.0
142,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14763X,2019-04-29 20:44:39.850,35.0
143,NC-IL081-10346,2019-03-25 16:16:24.883,Internal,S8B,8B-IL081,4502570,SFF-M-V-Bubbles 3,19A14763X,2019-04-29 20:44:39.850,35.0
144,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
145,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
146,NC-IL081-10323,2019-03-23 20:47:46.590,Internal,S8B,8B-IL081,4502570,SFF-M-V-Flash/Gate 2,19A14863X,2019-05-02 19:24:20.690,39.0
147,NC-IL081-10397,2019-03-26 15:17:15.787,Internal,C52,Press 52-IL081,31378089,CFF-V-Packaging 1,19B20863,2019-04-29 19:45:11.123,34.0
148,NC-IL081-10442,2019-03-27 09:19:16.637,Internal,S8P,Packer-IL081,4502570,SFF-SA-F-Spraymation,19C16763X,2019-06-19 21:54:42.350,84.0
149,NC-IL081-10594,2019-03-29 20:51:50.687,Internal,S6K,Kahle-IL081,4502570,SFF-SA-V-Mixed Product 1,19B40063X,2019-07-03 20:17:52.957,95.0
150,NC-IL081-10594,2019-03-29 20:51:50.687,Internal,S6K,Kahle-IL081,4502570,SFF-SA-V-Mixed Product 1,19B40063X,2019-07-03 20:17:52.957,95.0
151,NC-IL081-10594,2019-03-29 20:51:50.687,Internal,S6K,Kahle-IL081,4502570,SFF-SA-V-Mixed Product 1,19B40063X,2019-07-03 20:17:52.957,95.0
152,NC-IL081-10655,2019-04-01 23:31:02.730,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25163X,2019-04-15 14:39:09.407,13.0
153,NC-IL081-10655,2019-04-01 23:31:02.730,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25163X,2019-04-15 14:39:09.407,13.0
154,NC-IL081-10655,2019-04-01 23:31:02.730,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25163X,2019-04-15 14:39:09.407,13.0
155,NC-IL081-10657,2019-04-01 23:50:53.187,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25263X,2019-04-10 16:39:14.527,8.0
156,NC-IL081-10662,2019-04-02 00:35:29.913,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18L04463X,2019-04-10 17:36:53.427,8.0
157,NC-IL081-10665,2019-04-02 00:47:01.883,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18M03163X,2019-04-10 17:33:52.833,8.0
158,NC-IL081-10666,2019-04-02 01:00:35.243,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25363X,2019-04-10 16:36:40.200,8.0
159,NC-IL081-10666,2019-04-02 01:00:35.243,Internal,S6K,Kahle-IL081,4502575,PR-Planned Deviation,18K25363X,2019-04-10 16:36:40.200,8.0
160,NC-IL081-10676,2019-04-02 10:54:38.050,Internal,S2P,Packer-IL081,8881512852,SFF-PPHP-V-Lot Number 3,19C19063X,2019-04-30 21:26:50.817,28.0
161,NC-IL081-10766,2019-04-03 20:34:40.607,Internal,C31,Press 31-IL081,8970,"CFF-V-Warping, Deformation and Pulling",19B33163,2019-06-20 20:04:12.393,77.0
162,NC-IL081-10790,2019-04-04 11:36:31.237,Internal,171,Cell 171-IL081,WP8536,CFF-V-Short,19A16963,2019-06-24 18:18:49.520,81.0
