,0
0,0.9629629629629629
1,0.9629629629629629
2,0.9259259259259259
3,0.9259259259259259
4,0.9259259259259259
5,0.9259259259259259
6,0.9259259259259259
7,0.9259259259259259
8,0.9259259259259259
9,0.9259259259259259
10,0.9259259259259259
11,0.9259259259259259
12,0.9259259259259259
13,0.7407407407407407
14,0.7037037037037037
15,0.7037037037037037
16,0.6666666666666666
17,0.6666666666666666
18,0.6666666666666666
19,0.6666666666666666
20,0.6296296296296297
21,0.5925925925925926
22,0.5185185185185185
23,0.5185185185185185
24,0.5185185185185185
25,0.5185185185185185
26,0.5185185185185185
27,0.48148148148148145
28,0.48148148148148145
29,0.48148148148148145
30,0.48148148148148145
31,0.48148148148148145
32,0.48148148148148145
33,0.48148148148148145
34,0.48148148148148145
35,0.48148148148148145
36,0.48148148148148145
37,0.48148148148148145
38,0.48148148148148145
39,0.48148148148148145
40,0.48148148148148145
41,0.48148148148148145
42,0.48148148148148145
43,0.48148148148148145
44,0.4444444444444444
45,0.4444444444444444
46,0.4444444444444444
47,0.4444444444444444
48,0.4444444444444444
49,0.4444444444444444
50,0.4444444444444444
51,0.4444444444444444
52,0.4074074074074074
53,0.4074074074074074
54,0.4074074074074074
55,0.4074074074074074
56,0.4074074074074074
57,0.4074074074074074
58,0.4074074074074074
59,0.4074074074074074
60,0.4074074074074074
61,0.4074074074074074
62,0.37037037037037035
63,0.37037037037037035
64,0.37037037037037035
65,0.2962962962962963
66,0.2962962962962963
67,0.2962962962962963
68,0.2962962962962963
69,0.2962962962962963
70,0.2962962962962963
71,0.2962962962962963
72,0.2962962962962963
73,0.25925925925925924
74,0.25925925925925924
75,0.25925925925925924
76,0.2222222222222222
77,0.2222222222222222
78,0.2222222222222222
79,0.2222222222222222
80,0.2222222222222222
81,0.2222222222222222
82,0.2222222222222222
83,0.2222222222222222
84,0.2222222222222222
85,0.2222222222222222
86,0.2222222222222222
87,0.2222222222222222
88,0.2222222222222222
89,0.2222222222222222
90,0.18518518518518517
91,0.14814814814814814
92,0.14814814814814814
93,0.14814814814814814
94,0.14814814814814814
95,0.14814814814814814
96,0.14814814814814814
97,0.14814814814814814
98,0.14814814814814814
99,0.14814814814814814
100,0.14814814814814814
101,0.14814814814814814
102,0.14814814814814814
103,0.14814814814814814
104,0.14814814814814814
105,0.14814814814814814
106,0.14814814814814814
107,0.14814814814814814
108,0.14814814814814814
109,0.14814814814814814
110,0.037037037037037035
111,0.037037037037037035
112,0.037037037037037035
113,0.037037037037037035
114,0.037037037037037035
115,0.037037037037037035
116,0.037037037037037035
117,0.0
118,0.0
119,0.0
120,0.0
